"(*command-line-arguments.serverHello).SayHello" "(*henry_grpc/proto.HelloRequest).GetName"
"(*command-line-arguments.serverHi).SayHi" "(*henry_grpc/proto.HiRequest).GetName"
"(*henry_grpc/proto.HelloReply).Descriptor" "henry_grpc/proto.file_proto_henry_grpc_proto_rawDescGZIP"
"(*henry_grpc/proto.HelloReply).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.MessageInfo).MessageOf"
"(*henry_grpc/proto.HelloReply).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.messageState).LoadMessageInfo"
"(*henry_grpc/proto.HelloReply).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.messageState).StoreMessageInfo"
"(*henry_grpc/proto.HelloReply).ProtoReflect" "(google.golang.org/protobuf/internal/impl.Export).MessageStateOf"
"(*henry_grpc/proto.HelloReply).Reset" "(*google.golang.org/protobuf/internal/impl.messageState).StoreMessageInfo"
"(*henry_grpc/proto.HelloReply).Reset" "(google.golang.org/protobuf/internal/impl.Export).MessageStateOf"
"(*henry_grpc/proto.HelloReply).String" "(google.golang.org/protobuf/internal/impl.Export).MessageStringOf"
"(*henry_grpc/proto.HelloRequest).Descriptor" "henry_grpc/proto.file_proto_henry_grpc_proto_rawDescGZIP"
"(*henry_grpc/proto.HelloRequest).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.MessageInfo).MessageOf"
"(*henry_grpc/proto.HelloRequest).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.messageState).LoadMessageInfo"
"(*henry_grpc/proto.HelloRequest).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.messageState).StoreMessageInfo"
"(*henry_grpc/proto.HelloRequest).ProtoReflect" "(google.golang.org/protobuf/internal/impl.Export).MessageStateOf"
"(*henry_grpc/proto.HelloRequest).Reset" "(*google.golang.org/protobuf/internal/impl.messageState).StoreMessageInfo"
"(*henry_grpc/proto.HelloRequest).Reset" "(google.golang.org/protobuf/internal/impl.Export).MessageStateOf"
"(*henry_grpc/proto.HelloRequest).String" "(google.golang.org/protobuf/internal/impl.Export).MessageStringOf"
"(*henry_grpc/proto.HiReply).Descriptor" "henry_grpc/proto.file_proto_henry_grpc_proto_rawDescGZIP"
"(*henry_grpc/proto.HiReply).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.MessageInfo).MessageOf"
"(*henry_grpc/proto.HiReply).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.messageState).LoadMessageInfo"
"(*henry_grpc/proto.HiReply).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.messageState).StoreMessageInfo"
"(*henry_grpc/proto.HiReply).ProtoReflect" "(google.golang.org/protobuf/internal/impl.Export).MessageStateOf"
"(*henry_grpc/proto.HiReply).Reset" "(*google.golang.org/protobuf/internal/impl.messageState).StoreMessageInfo"
"(*henry_grpc/proto.HiReply).Reset" "(google.golang.org/protobuf/internal/impl.Export).MessageStateOf"
"(*henry_grpc/proto.HiReply).String" "(google.golang.org/protobuf/internal/impl.Export).MessageStringOf"
"(*henry_grpc/proto.HiRequest).Descriptor" "henry_grpc/proto.file_proto_henry_grpc_proto_rawDescGZIP"
"(*henry_grpc/proto.HiRequest).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.MessageInfo).MessageOf"
"(*henry_grpc/proto.HiRequest).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.messageState).LoadMessageInfo"
"(*henry_grpc/proto.HiRequest).ProtoReflect" "(*google.golang.org/protobuf/internal/impl.messageState).StoreMessageInfo"
"(*henry_grpc/proto.HiRequest).ProtoReflect" "(google.golang.org/protobuf/internal/impl.Export).MessageStateOf"
"(*henry_grpc/proto.HiRequest).Reset" "(*google.golang.org/protobuf/internal/impl.messageState).StoreMessageInfo"
"(*henry_grpc/proto.HiRequest).Reset" "(google.golang.org/protobuf/internal/impl.Export).MessageStateOf"
"(*henry_grpc/proto.HiRequest).String" "(google.golang.org/protobuf/internal/impl.Export).MessageStringOf"
"(henry_grpc/proto.UnimplementedHelloServer).SayHello" "google.golang.org/grpc/status.Errorf"
"(henry_grpc/proto.UnimplementedHiServer).SayHi" "google.golang.org/grpc/status.Errorf"
"command-line-arguments.init" "henry_grpc/proto.init"
"command-line-arguments.main" "henry_grpc/proto.RegisterHelloServer"
"command-line-arguments.main" "henry_grpc/proto.RegisterHiServer"
"henry_grpc/proto.file_proto_henry_grpc_proto_init" "(google.golang.org/protobuf/internal/filetype.Builder).Build"
"henry_grpc/proto.file_proto_henry_grpc_proto_init" "reflect.TypeOf"
"henry_grpc/proto.file_proto_henry_grpc_proto_rawDescGZIP" "(*sync.Once).Do"
"henry_grpc/proto.file_proto_henry_grpc_proto_rawDescGZIP$1" "(google.golang.org/protobuf/internal/impl.Export).CompressGZIP"
"henry_grpc/proto.init" "context.init"
"henry_grpc/proto.init" "google.golang.org/grpc.init"
"henry_grpc/proto.init" "google.golang.org/grpc/codes.init"
"henry_grpc/proto.init" "google.golang.org/grpc/status.init"
"henry_grpc/proto.init" "google.golang.org/protobuf/reflect/protoreflect.init"
"henry_grpc/proto.init" "google.golang.org/protobuf/runtime/protoimpl.init"
"henry_grpc/proto.init" "henry_grpc/proto.init#1"
"henry_grpc/proto.init" "reflect.init"
"henry_grpc/proto.init" "sync.init"
"henry_grpc/proto.init#1" "henry_grpc/proto.file_proto_henry_grpc_proto_init"
